ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266243,1,0,0,0,0,5/7/2024,6:30,7,2024,2,44,00000,N-234,"204,9",2,2,1,5,1
202444266244,1,0,0,0,0,26/7/2024,6:30,7,2024,2,44,00000,N-234,"204,622",2,2,1,8,1
202444266245,1,0,0,0,0,22/7/2024,22:20,7,2024,2,44,00000,N-234,207,1,2,1,17,1
202444266246,1,0,0,0,0,29/7/2024,22:40,7,2024,2,44,00000,N-234,204,2,2,1,5,1
202444266247,1,0,0,0,0,17/8/2024,22:30,8,2024,2,44,00000,A-2511,"5,5",2,2,2,5,1
202444266248,1,0,0,0,0,2/11/2024,2:27,11,2024,2,44,00000,N-234,"202,7",1,2,1,8,1
202444266249,1,0,0,0,0,10/11/2024,20:00,11,2024,2,44,00000,N-234,199,1,2,1,8,1
202444266250,1,0,0,0,0,10/11/2024,19:20,11,2024,2,44,00000,N-234,"209,4",2,2,1,8,1
202444266251,1,0,0,0,0,3/12/2024,7:45,12,2024,2,44,00000,N-234,201,1,2,1,5,1
202444266252,1,0,0,0,0,20/4/2024,7:50,4,2024,2,44,00000,TE-V-8021,"7,5",1,2,3,5,1
202444266253,1,0,0,0,0,22/1/2024,20:45,1,2024,2,44,00000,A-1413,"4,4",1,2,2,8,1
202444266254,1,0,0,0,0,16/3/2024,21:30,3,2024,2,44,00000,A-1413,3,2,2,2,8,1
202444266255,1,0,0,0,0,14/11/2024,21:55,11,2024,2,44,00000,N-420,779,2,2,1,8,1
202444266256,1,0,0,0,0,20/12/2024,21:20,12,2024,2,44,00000,N-420,"771,8",2,2,1,8,1
202444266257,1,0,0,0,0,6/1/2024,19:05,1,2024,2,44,00000,N-234,"197,3",2,2,1,8,1
202444266258,1,0,0,0,0,25/1/2024,19:00,1,2024,2,44,00000,A-1507,"7,2",2,2,2,5,1
202444266259,1,0,0,0,0,7/2/2024,5:15,2,2024,2,44,00000,A-1507,6,2,2,2,5,1
202444266260,1,0,0,0,0,5/3/2024,19:25,3,2024,2,44,00000,N-234,"197,3",1,2,1,5,1
202444266261,1,0,0,0,0,23/1/2024,8:20,1,2024,2,44,00000,N-234,193,2,2,1,5,1
202444266262,1,0,0,0,0,11/3/2024,20:00,3,2024,2,44,00000,A-1507,"4,6",1,2,2,5,1
202444266263,1,0,0,0,0,16/3/2024,23:50,3,2024,2,44,00000,A-1507,"7,45",2,2,2,8,1
202444266264,1,0,0,0,0,1/4/2024,8:20,4,2024,2,44,00000,A-23,183,2,1,1,5,1
202444266265,1,0,0,0,0,1/4/2024,19:25,4,2024,2,44,00000,N-234,"198,9",1,2,1,5,1
202444266266,1,0,0,0,0,29/3/2024,21:00,3,2024,2,44,00000,A-222,49,1,2,2,8,1
202444266267,1,0,0,0,0,18/4/2024,22:10,4,2024,2,44,00000,A-1508,"2,3",1,2,2,5,1
202444266268,1,0,0,0,0,14/4/2024,21:00,4,2024,2,44,00000,A-1508,"9,8",2,2,2,5,1
202444266269,1,0,0,0,0,20/4/2024,23:20,4,2024,2,44,00000,No inventariada,"1,2",1,2,4,5,1
202444266270,1,0,0,0,0,2/5/2024,22:25,5,2024,2,44,00000,N-234,187,1,2,1,5,1
202444266271,1,0,0,0,0,12/5/2024,6:50,5,2024,2,44,00000,N-234,"202,7",2,2,1,5,1
202444266272,1,0,0,0,0,14/5/2024,21:45,5,2024,2,44,00000,N-234,"198,5",1,2,1,5,1
